date,Close,High,Low,Open,Vol
2005/11/25,1114.916,1115.081,1107.213,1113.283,15509150
2005/11/28,1110.823,1119.345,1106.943,1113.829,12852408
2005/11/29,1096.986,1110.305,1095.344,1109.569,11879938
2005/11/30,1099.261,1099.577,1090.723,1095.299,10875975
2005/12/1,1098.747,1104.563,1094.438,1098.784,8932119
2005/12/2,1094.287,1102.759,1089.562,1099.756,10636974
2005/12/5,1079.197,1093.101,1077.405,1093.101,11224965
2005/12/6,1087.794,1089.594,1074.007,1077.578,11052745
2005/12/7,1099.615,1100.048,1086.733,1087.741,10389383
2005/12/8,1098.323,1106.342,1092.992,1100.685,10398709
2005/12/9,1113.477,1114.584,1094.738,1097.515,13487010
2005/12/12,1116.367,1118.525,1109.082,1115.751,11944637
2005/12/13,1117.846,1119.421,1106.749,1115.765,11376092
2005/12/14,1125.387,1127.629,1110.206,1117.47,15022124
2005/12/15,1123.555,1134.853,1121.556,1125.672,16824259
2005/12/16,1127.508,1127.941,1118.936,1122.733,12610777
2005/12/19,1131.751,1134.5,1123.504,1127.837,12228678
2005/12/20,1136.342,1136.386,1126.991,1131.796,11712710
2005/12/21,1130.759,1142.393,1128.943,1135.977,12292322
2005/12/22,1135.238,1136.001,1125.954,1129.564,11121539
2005/12/23,1144.871,1144.938,1135.074,1135.705,14472553
2005/12/26,1156.823,1159.782,1145.337,1145.77,18653133
2005/12/27,1154.288,1158.163,1149.847,1157.489,15673883
2005/12/28,1157.034,1157.197,1149.271,1155.117,14680286
2005/12/29,1169.862,1169.867,1157.505,1157.506,21803399
2005/12/30,1161.057,1173.064,1158.966,1171.575,20027934
2006/1/4,1180.963,1181.004,1161.906,1163.878,23258542
2006/1/5,1197.269,1197.837,1180.451,1183.305,29484479
2006/1/6,1209.422,1215.536,1191.614,1198.811,34342856
2006/1/9,1215.668,1217.314,1205.248,1210.32,28706657
2006/1/10,1220.618,1220.756,1203.651,1215.848,26794547
2006/1/11,1211.053,1223.559,1204.041,1219.811,30631464
2006/1/12,1226.704,1227.302,1205.283,1208.766,27018916
2006/1/13,1221.459,1231.223,1214.881,1228.157,27708578
